Category,Film,Nominee,Winner,Year,Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Win_GoldenGlobe_bestdirector,Win_BAFTA,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_BAFTA,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestfilm,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_western,Genre_thriller,Genre_sport,Genre_family,Genre_action,Genre_adventure
Director,The Apartment,Billy Wilder,1,1961,8.3,94,93,10,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Sons and Lovers,Jack Cardiff,0,1961,7.3,54,75,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Never on Sunday,Jules Dassin,0,1961,7.4,83,88,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Psycho,Alfred Hitchcock,0,1961,8.5,94,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Director,The Sundowners,Fred Zinnemann,0,1961,7.2,62,78,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Director,West Side Story,Robert Wise,1,1962,7.6,84,94,11,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,La Dolce Vita,Federico Fellini,0,1962,8.1,90,97,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Judgment at Nuremberg,Stanley Kramer,0,1962,8.3,93,90,11,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,The Hustler,Robert Rossen,0,1962,8,93,98,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Director,The Guns of Navarone,J. Lee Thompson,0,1962,7.6,86,95,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Director,Lawrence of Arabia,David Lean,1,1963,8.3,93,97,10,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Director,Divorce Italian Style,Pietro Germi,0,1963,8.3,93,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,To Kill a Mockingbird,Robert Mulligan,0,1963,8.3,93,91,8,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Miracle Worker,Arthur Penn,0,1963,8.1,88,100,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,David and Lisa,Frank Perry,0,1963,6.9,80,80,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Tom Jones,Tony Richardson,1,1964,6.7,58,83,10,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Director,America America,Elia Kazan,0,1964,7.9,86,71,4,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Cardinal,Otto Preminger,0,1964,6.8,67,60,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Director,Hud,Martin Ritt,0,1964,7.9,89,84,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,My Fair Lady,George Cukor,1,1965,7.9,90,96,12,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Director,Zorba the Greek,Michael Cacoyannis,0,1965,7.8,87,86,7,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Becket,Peter Glenville,0,1965,8,88,76,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,0,1965,8.5,94,99,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,Mary Poppins,Robert Stevenson,0,1965,7.8,86,100,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Director,The Sound of Music,Robert Wise,1,1966,8,91,86,10,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Director,Doctor Zhivago,David Lean,0,1966,8,88,82,10,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Director,Darling,John Schlesinger,0,1966,7.2,71,70,5,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Woman in the Dunes,Hiroshi Teshigahara,0,1966,8.5,93,100,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Director,The Collector,William Wyler,0,1966,7.6,83,100,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Director,A Man for All Seasons,Fred Zinnemann,1,1967,7.9,87,82,8,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Blowup,Michelangelo Antonioni,0,1967,7.7,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Professionals,Richard Brooks,0,1967,7.4,82,93,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Director,A Man and a Woman,Claude Lelouch,0,1967,7.7,87,77,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Who's Afraid of Virginia Woolf?,Mike Nichols,0,1967,8.1,91,95,13,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Graduate,Mike Nichols,1,1968,8,90,89,7,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,In Cold Blood,Richard Brooks,0,1968,8,88,91,4,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,In the Heat of the Night,Norman Jewison,0,1968,8,92,95,7,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Director,Guess Who's Coming to Dinner,Stanley Kramer,0,1968,7.8,85,68,10,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Bonnie and Clyde,Arthur Penn,0,1968,7.9,88,88,10,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Director,Oliver!,Carol Reed,1,1969,7.5,81,81,12,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Director,The Lion in Winter,Anthony Harvey,0,1969,8.1,90,91,7,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,2001: A Space Odyssey,Stanley Kubrick,0,1969,8.3,89,94,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Director,The Battle of Algiers,Gillo Pontecorvo,0,1969,8.1,95,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Romeo and Juliet,Franco Zeffirelli,0,1969,7.6,74,97,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Midnight Cowboy,John Schlesinger,1,1970,7.9,88,90,7,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Z,Costa Gavras,0,1970,8.2,93,95,5,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Butch Cassidy and the Sundance Kid,George Roy Hill,0,1970,8.1,92,89,6,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Alice's Restaurant,Arthur Penn,0,1970,6.3,60,67,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,"They Shoot Horses, Don't They?",Sydney Pollack,0,1970,7.9,89,84,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Patton,Franklin J. Schaffner,1,1971,8,94,95,10,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,M*A*S*H,Robert Altman,0,1971,7.6,83,87,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Fellini Satyricon,Federico Fellini,0,1971,7,75,75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Love Story,Arthur Hiller,0,1971,6.9,75,57,7,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Women in Love,Ken Russell,0,1971,7.6,76,91,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,The French Connection,William Friedkin,1,1972,7.8,87,98,8,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Director,The Last Picture Show,Peter Bogdanovich,0,1972,8.1,90,100,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Fiddler on the Roof,Norman Jewison,0,1972,8,92,81,8,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Director,A Clockwork Orange,Stanley Kubrick,0,1972,8.3,93,90,4,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Director,Sunday Bloody Sunday,John Schlesinger,0,1972,7.2,72,92,4,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Cabaret,Bob Fosse,1,1973,7.9,87,97,10,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Deliverance,John Boorman,0,1973,7.7,82,93,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Director,The Godfather,Francis Ford Coppola,0,1973,9.2,98,99,11,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Sleuth,Joseph L. Mankiewicz,0,1973,8.1,90,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Director,The Emigrants,Jan Troell,0,1973,8,88,89,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,The Sting,George Roy Hill,1,1974,8.3,95,93,10,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Cries and Whispers,Ingmar Bergman,0,1974,8.2,91,89,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Last Tango in Paris,Bernardo Bertolucci,0,1974,7.1,76,79,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,The Exorcist,William Friedkin,0,1974,8,87,86,10,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,American Graffiti,George Lucas,0,1974,7.5,84,95,5,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Godfather Part II,Francis Ford Coppola,1,1975,9,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,A Woman Under the Influence,John Cassavetes,0,1975,8.2,92,95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Lenny,Bob Fosse,0,1975,7.6,88,100,6,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Chinatown,Roman Polanski,0,1975,8.2,93,98,11,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Director,Day for Night,Franois Truffaut,0,1975,8.1,91,100,4,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,One Flew Over the Cuckoo's Nest,Milo Forman,1,1976,8.7,96,95,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Nashville,Robert Altman,0,1976,7.8,84,94,4,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Director,Amarcord,Federico Fellini,0,1976,8,91,91,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Barry Lyndon,Stanley Kubrick,0,1976,8.1,92,97,7,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Director,Dog Day Afternoon,Sidney Lumet,0,1976,8,90,95,6,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Rocky,John G. Avildsen,1,1977,8.1,69,93,9,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Director,Face to Face,Ingmar Bergman,0,1977,7.7,82,80,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Network,Sidney Lumet,0,1977,8.1,93,91,10,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,All the President's Men,Alan J. Pakula,0,1977,8,92,93,8,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Seven Beauties,Lina Wertmller,0,1977,8,90,91,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,Annie Hall,Woody Allen,1,1978,8.1,93,99,5,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Star Wars,George Lucas,0,1978,8.7,96,93,11,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Turning Point,Herbert Ross,0,1978,7,69,58,11,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Close Encounters of the Third Kind,Steven Spielberg,0,1978,7.7,85,96,9,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Director,Julia,Fred Zinnemann,0,1978,7.4,66,73,11,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Deer Hunter,Michael Cimino,1,1979,8.2,92,94,9,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,Interiors,Woody Allen,0,1979,7.5,79,77,5,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Coming Home,Hal Ashby,0,1979,7.3,83,81,8,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Director,Heaven Can Wait,Warren Beatty,0,1979,6.9,68,89,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Midnight Express,Alan Parker,0,1979,7.7,89,95,6,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Kramer vs. Kramer,Robert Benton,1,1980,7.8,89,88,9,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Apocalypse Now,Francis Ford Coppola,0,1980,8.5,94,97,8,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,All That Jazz,Bob Fosse,0,1980,7.8,86,85,9,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Director,La Cage aux Folles,douard Molinaro,0,1980,7.3,84,100,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Breaking Away,Peter Yates,0,1980,7.7,88,94,5,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Ordinary People,Robert Redford,1,1981,7.8,88,90,6,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
